context,question,category,answer
Jake reserved 3 tickets for tomorrow 7 pm. He got 30% discount.,How long did it take to get the discount?,Event Duration, 10 minutes
Jake reserved 3 tickets for tomorrow 7 pm. He got 30% discount.,When did he get the discount?,Typical Time, 12:00 PM
Jake reserved 3 tickets for tomorrow 7 pm. He got 30% discount.,Is he still getting discount tomorrow?,Stationarity, no
"Freddie, Kelly, Jim, Greg, Bob, Mike, Mary, Alan and Nancy are watching different shows on Netflix.",How often do they watch different shows?,Frequency, every night
"Freddie, Kelly, Jim, Greg, Bob, Mike, Mary, Alan and Nancy are watching different shows on Netflix.",How long are the shows?,Event Duration, 1 hour
"Freddie, Kelly, Jim, Greg, Bob, Mike, Mary, Alan and Nancy are watching different shows on Netflix.",When did they watch the show?,Typical Time, 10:00 PM
"Freddie, Kelly, Jim, Greg, Bob, Mike, Mary, Alan and Nancy are watching different shows on Netflix.",What did they do after watching the show?,Event Ordering, they went to bed
Sonia is going to San Sebastian in a month. Toni enjoyed her the airbnb place there. Sonia isn't convinced about it and will let Toni know.,How many times a week does Sonia go to San Sebastian?,Frequency, once
Sonia is going to San Sebastian in a month. Toni enjoyed her the airbnb place there. Sonia isn't convinced about it and will let Toni know.,How long will Sonia be at San Sebastian?,Event Duration, 3 days
Sonia is going to San Sebastian in a month. Toni enjoyed her the airbnb place there. Sonia isn't convinced about it and will let Toni know.,When did Sonia go to San Sebastian?,Typical Time, in a month
Sonia is going to San Sebastian in a month. Toni enjoyed her the airbnb place there. Sonia isn't convinced about it and will let Toni know.,What happens after Sonia isn't convinced about San Sebastian?,Event Ordering, she doesn't go
"Malik and Samanta want to lose weight. They will try to keep a diet, keto or paleo, and go for runs together.",How often do they go to the gym?,Frequency, 3 times a week
"Malik and Samanta want to lose weight. They will try to keep a diet, keto or paleo, and go for runs together.",How long will they be eating keto or paleo?,Event Duration, 2 weeks
"Malik and Samanta want to lose weight. They will try to keep a diet, keto or paleo, and go for runs together.",When will they go for runs?,Typical Time, 1:00 PM
"Malik and Samanta want to lose weight. They will try to keep a diet, keto or paleo, and go for runs together.",What happens after they go for runs?,Event Ordering, they feel better
"Malik and Samanta want to lose weight. They will try to keep a diet, keto or paleo, and go for runs together.",Will they still be able to eat keto after the run?,Stationarity, no
Derek closed some deals today. Phil didn't manage to do it.,How often does Derek close deals?,Frequency, every week
Derek closed some deals today. Phil didn't manage to do it.,How long did the deal take?,Event Duration, 1 hour
Derek closed some deals today. Phil didn't manage to do it.,When did Derek close the deal?,Typical Time, 12:00 PM
Derek closed some deals today. Phil didn't manage to do it.,What happened after Derek closed the deal?,Event Ordering, he got a raise
Derek closed some deals today. Phil didn't manage to do it.,Is Derek still closing the deals tomorrow?,Stationarity, no
People are photoshopping Timothée Chalamet into artworks. Dominic and Nova agree that he looks like a 19th century man.,How long did it take to make the artwork?,Event Duration, 10 minutes
People are photoshopping Timothée Chalamet into artworks. Dominic and Nova agree that he looks like a 19th century man.,When did he start making the artworks?,Typical Time, 1990
People are photoshopping Timothée Chalamet into artworks. Dominic and Nova agree that he looks like a 19th century man.,What happened after he was a 19th century man?,Event Ordering, he was happy
Peter has been working out at the gym near their office lately to improve his health. Lisa is considering working out and eating better to be healthier.,How many times a week does Peter go to work?,Frequency, 5 times a week
Peter has been working out at the gym near their office lately to improve his health. Lisa is considering working out and eating better to be healthier.,How long has Peter been at the gym?,Event Duration, 1 hour
Peter has been working out at the gym near their office lately to improve his health. Lisa is considering working out and eating better to be healthier.,When did he start working out at the gym?,Typical Time, 10:00 AM
Peter has been working out at the gym near their office lately to improve his health. Lisa is considering working out and eating better to be healthier.,What happened after he was at the gym?,Event Ordering, he felt better
Peter has been working out at the gym near their office lately to improve his health. Lisa is considering working out and eating better to be healthier.,Is he still at the gym?,Stationarity, yes
"Julia broke Tom's cup, which made him sad. She will buy him a new one.",How many times a week does Julia break his cup?,Frequency, once
"Julia broke Tom's cup, which made him sad. She will buy him a new one.",How long did it take to buy the new one?,Event Duration, 10 minutes
"Julia broke Tom's cup, which made him sad. She will buy him a new one.",When did she buy the new one?,Typical Time, yesterday
"Julia broke Tom's cup, which made him sad. She will buy him a new one.",What happened after she bought the new one?,Event Ordering, tom was happy
"The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad.",How long will the CSS tests last?,Event Duration, 3 hours
"The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad.",When will the tests begin?,Typical Time, 5:00 PM
"The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad.",What happens after the tests?,Event Ordering, the players get their scores
"The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad.",Will the tests last forever?,Stationarity, no
"Jessica bought a table, six chairs, a vase and a pile of clothes and the second hand shop downtown. She paid 70 euros for everything.","How often does she buy the table, the vase, the clothes and the second hand shop?",Frequency, once
"Jessica bought a table, six chairs, a vase and a pile of clothes and the second hand shop downtown. She paid 70 euros for everything.","How long did she buy the table, the vase, the clothes and the second hand shop?",Event Duration, 1 hour
"Jessica bought a table, six chairs, a vase and a pile of clothes and the second hand shop downtown. She paid 70 euros for everything.","When did she buy the table, the vase, the clothes and the second hand shop?",Typical Time, 12:00 PM
"Jessica bought a table, six chairs, a vase and a pile of clothes and the second hand shop downtown. She paid 70 euros for everything.","What did she do after buying the table, the vase, the clothes and the second hand shop?",Event Ordering, she went home
Abigail and Damien are going to church on Sunday. Damien has to put on a coat and tie.,How many times a week does Damien go to church?,Frequency, once
Abigail and Damien are going to church on Sunday. Damien has to put on a coat and tie.,How long will they be at church?,Event Duration, 2 hours
Abigail and Damien are going to church on Sunday. Damien has to put on a coat and tie.,When did they go to church?,Typical Time, 10:00 AM
Abigail and Damien are going to church on Sunday. Damien has to put on a coat and tie.,What happens after they go to church?,Event Ordering, they go home
Abigail and Damien are going to church on Sunday. Damien has to put on a coat and tie.,Is Damien still wearing the coat and tie tomorrow?,Stationarity, no
Lucian is not at home. Desiree wants Lucian to keep her pasta in the microwave.,How often does Lucian prepare the pasta?,Frequency, every day
Lucian is not at home. Desiree wants Lucian to keep her pasta in the microwave.,How long does Lucian want to keep her pasta in the microwave?,Event Duration, 3 minutes
Lucian is not at home. Desiree wants Lucian to keep her pasta in the microwave.,When did Lucian get home from home?,Typical Time, 12:00 PM
Lucian is not at home. Desiree wants Lucian to keep her pasta in the microwave.,What happens after Lucian is at home?,Event Ordering, he eats his pasta
Doug has a cool pair of shoes.,How often does Doug buy a pair of shoes?,Frequency, once a year
Doug has a cool pair of shoes.,How long does it take to make the shoes?,Event Duration, 1 hour
Doug has a cool pair of shoes.,When did Doug buy the shoes?,Typical Time, last week
Doug has a cool pair of shoes.,What happened after Doug bought the shoes?,Event Ordering, he wore them
"Tessa doesn't like Chloe texting her boyfriend, Jim Andrews. Jim is Chloe's co-worker so Chloe needs to communicate with him.",How many times a week does Tessa text her boyfriend?,Frequency, once
"Tessa doesn't like Chloe texting her boyfriend, Jim Andrews. Jim is Chloe's co-worker so Chloe needs to communicate with him.",What happens after they are co-workers?,Event Ordering, they get to know each other
"Emily, Kate and Marta are going to the Pub X at the central station today for a drink.",How many times a week does the group go to the pub X?,Frequency, once
"Emily, Kate and Marta are going to the Pub X at the central station today for a drink.",How long will they be at the Pub X?,Event Duration, 2 hours
"Emily, Kate and Marta are going to the Pub X at the central station today for a drink.",When did they go to the pub X?,Typical Time, 1:00 PM
"Emily, Kate and Marta are going to the Pub X at the central station today for a drink.",What did they do after leaving the pub X?,Event Ordering, they went home
"Jane, Anne and Ella have been to La Perle. Jane ate cheesecake and got an allergic reaction. They are getting out of ER.",How often do they eat cheesecake?,Frequency, once a week
"Jane, Anne and Ella have been to La Perle. Jane ate cheesecake and got an allergic reaction. They are getting out of ER.",How long did they go to the ER?,Event Duration, 2 hours
"Jane, Anne and Ella have been to La Perle. Jane ate cheesecake and got an allergic reaction. They are getting out of ER.",When did they go to the ER?,Typical Time, 1:00 PM
"Jane, Anne and Ella have been to La Perle. Jane ate cheesecake and got an allergic reaction. They are getting out of ER.",What did they do after leaving the ER?,Event Ordering, they went home
"Jane, Anne and Ella have been to La Perle. Jane ate cheesecake and got an allergic reaction. They are getting out of ER.",Is Jane still allergic to cheesecake at the store?,Stationarity, no
Railey will buy Tiffany a burger.,How often does Railey buy a burger?,Frequency, once a week
Railey will buy Tiffany a burger.,How long will it take to buy the burger?,Event Duration, 10 minutes
Railey will buy Tiffany a burger.,When did Railey buy the burgers?,Typical Time, 12:00 PM
Railey will buy Tiffany a burger.,What happens after they buy a burger?,Event Ordering, they eat it
Railey will buy Tiffany a burger.,Is Railey still buying a burger tomorrow?,Stationarity, no
Ariana will do shopping in Midtown. Aviana can't join her.,How often does Ariana go to the store?,Frequency, every week
Connor bought his halloween costumes at Value Village where Jane plans to get her and her sister's costume.,How often does Connor buy his costumes at Value Village?,Frequency, once
Connor bought his halloween costumes at Value Village where Jane plans to get her and her sister's costume.,How long did Connor buy the costume?,Event Duration, 10 minutes
Connor bought his halloween costumes at Value Village where Jane plans to get her and her sister's costume.,When did Connor buy the costume?,Typical Time, 1:00 PM
Connor bought his halloween costumes at Value Village where Jane plans to get her and her sister's costume.,What did Connor do after buying the costume?,Event Ordering, he put it in his closet
Connor bought his halloween costumes at Value Village where Jane plans to get her and her sister's costume.,Is Connor still at Value Village?,Stationarity, no
"Today Mary didn't go to school, she stayed at home.",How many times a week does Mary go to school?,Frequency, 5 times
"Today Mary didn't go to school, she stayed at home.",How long did Mary stay at home?,Event Duration, 1 day
"Today Mary didn't go to school, she stayed at home.",When did Mary go to school?,Typical Time, 9:00 AM
"Today Mary didn't go to school, she stayed at home.",What did she do after leaving home?,Event Ordering, she went to the park
"Today Mary didn't go to school, she stayed at home.",Is Mary still at home?,Stationarity, yes
Elena is wearing the red jacket and Jeffrey can't see her nor Tom.,How many times a week does Elena wear the red jacket?,Frequency, once
Elena is wearing the red jacket and Jeffrey can't see her nor Tom.,How long does it take to wear the red jacket?,Event Duration, 10 minutes
Elena is wearing the red jacket and Jeffrey can't see her nor Tom.,When did she wear the red jacket?,Typical Time, 12:00 PM
Elena is wearing the red jacket and Jeffrey can't see her nor Tom.,What did she do after wearing the red jacket?,Event Ordering, she went to the park
Elena is wearing the red jacket and Jeffrey can't see her nor Tom.,Is Elena still wearing the red jacket tomorrow?,Stationarity, no
Sophia apologizes to Mason. She sends him a kiss photo on his request.,How often does she send a kiss photo to Mason?,Frequency, once
Sophia apologizes to Mason. She sends him a kiss photo on his request.,How long does it take to send the kiss photo?,Event Duration, 1 minute
Sophia apologizes to Mason. She sends him a kiss photo on his request.,When did she send the kiss photo?,Typical Time, 1:00 PM
Sophia apologizes to Mason. She sends him a kiss photo on his request.,What happens after she sends a kiss photo?,Event Ordering, he smiles
"Steffen twisted his ankle yesterday and needs a lift to the infinity pool. Irene's car probably won't make it up the hill, so they'd have to park at the bottom and hike up. Mr.Budd should make it up the hill since it's a 4-wheel drive.",How many times a week does he get a lift?,Frequency, once
"Steffen twisted his ankle yesterday and needs a lift to the infinity pool. Irene's car probably won't make it up the hill, so they'd have to park at the bottom and hike up. Mr.Budd should make it up the hill since it's a 4-wheel drive.",How long did it take to get to the infinity pool?,Event Duration, 1 hour
"Steffen twisted his ankle yesterday and needs a lift to the infinity pool. Irene's car probably won't make it up the hill, so they'd have to park at the bottom and hike up. Mr.Budd should make it up the hill since it's a 4-wheel drive.",When did they get to the infinity pool?,Typical Time, 1:00 PM
"Steffen twisted his ankle yesterday and needs a lift to the infinity pool. Irene's car probably won't make it up the hill, so they'd have to park at the bottom and hike up. Mr.Budd should make it up the hill since it's a 4-wheel drive.",What happened after he twisted his ankle?,Event Ordering, he got a lift
"Steffen twisted his ankle yesterday and needs a lift to the infinity pool. Irene's car probably won't make it up the hill, so they'd have to park at the bottom and hike up. Mr.Budd should make it up the hill since it's a 4-wheel drive.",Is he still in the middle of the hill tomorrow?,Stationarity, no
"Jake, Florence, Margot and others are going on a research trip to Swazi. The name of the country was changed last year and it's now Eswatini.",How often are they going to the country?,Frequency, once
"Jake, Florence, Margot and others are going on a research trip to Swazi. The name of the country was changed last year and it's now Eswatini.",How long did the trip take?,Event Duration, 1 week
"Jake, Florence, Margot and others are going on a research trip to Swazi. The name of the country was changed last year and it's now Eswatini.",When did the research trip begin?,Typical Time, 10:00 AM
"Jake, Florence, Margot and others are going on a research trip to Swazi. The name of the country was changed last year and it's now Eswatini.",What happened after the country was changed?,Event Ordering, people learned about the change
Christine is sick and won't come to school tomorrow. Annie will leave Theraflu sachets in a mailbox. Christine doesn't want to get her sick.,How many times a week does she leave the sachets in the mailbox?,Frequency, once
Christine is sick and won't come to school tomorrow. Annie will leave Theraflu sachets in a mailbox. Christine doesn't want to get her sick.,How long will it take to get to school?,Event Duration, 1 hour
Christine is sick and won't come to school tomorrow. Annie will leave Theraflu sachets in a mailbox. Christine doesn't want to get her sick.,When did she go to school?,Typical Time, 9:00 AM
Jill called Sarah. She also sent her some old pictures.,How often does Jill send them old pictures?,Frequency, once a year
Jill called Sarah. She also sent her some old pictures.,How long did Jill call Sarah?,Event Duration, 10 minutes
Jill called Sarah. She also sent her some old pictures.,When did Jill call Sarah?,Typical Time, 12:00 PM
Jill called Sarah. She also sent her some old pictures.,What did Jill do after receiving the pictures?,Event Ordering, she put them in a album
Peter starts his new job on the 6th. Peter wanted a free babysitter. Aggie will arrange for a babysitter.,How often does Peter want a babysitter?,Frequency, every day
Peter starts his new job on the 6th. Peter wanted a free babysitter. Aggie will arrange for a babysitter.,How long will it take to find a babysitter?,Event Duration, 1 hour
Peter starts his new job on the 6th. Peter wanted a free babysitter. Aggie will arrange for a babysitter.,When does Peter start work?,Typical Time, 10:00 AM
Peter starts his new job on the 6th. Peter wanted a free babysitter. Aggie will arrange for a babysitter.,What happens after he is free babysitter?,Event Ordering, he goes to work
Aimee is looking for Maryam.,How often does Aimee look for Maryam?,Frequency, every day
Aimee is looking for Maryam.,How long does it take to find Maryam?,Event Duration, 10 minutes
Aimee is looking for Maryam.,When did Aimee look for Maryam?,Typical Time, 12:00 PM
Aimee is looking for Maryam.,What did Aimee do after finding Maryam?,Event Ordering, she hugged her
"George, Robert and Paul are going to play basketball on Friday at 7. Yousuf will be late.","How often do George, Robert and Paul play basketball?",Frequency, once a week
"George, Robert and Paul are going to play basketball on Friday at 7. Yousuf will be late.",When did they go to the gamesuf?,Typical Time, 10:00 PM
"George, Robert and Paul are going to play basketball on Friday at 7. Yousuf will be late.",Is George still playing basketball after the sun is over?,Stationarity, no
"Rory wants Mitch to take Bill and Sammy and they'll chip in for gas. Mitch will be leaving Sunday, the 29th to get there by 9 am on Monday. Bill will arrive around 10 am Sunday and Joanna will be picking him. Mitch will meet Bill after.",How many times a week does he meet with Sammy?,Frequency, once
"Rory wants Mitch to take Bill and Sammy and they'll chip in for gas. Mitch will be leaving Sunday, the 29th to get there by 9 am on Monday. Bill will arrive around 10 am Sunday and Joanna will be picking him. Mitch will meet Bill after.",How long will it take to get to the airport?,Event Duration, 1 hour
"Rory wants Mitch to take Bill and Sammy and they'll chip in for gas. Mitch will be leaving Sunday, the 29th to get there by 9 am on Monday. Bill will arrive around 10 am Sunday and Joanna will be picking him. Mitch will meet Bill after.",When will they meet?,Typical Time, 10:00 PM
"Rory wants Mitch to take Bill and Sammy and they'll chip in for gas. Mitch will be leaving Sunday, the 29th to get there by 9 am on Monday. Bill will arrive around 10 am Sunday and Joanna will be picking him. Mitch will meet Bill after.",What time of day will they meet?,Event Ordering, 10:00 AM
Jones and Angelina will meet in town in the afternoon.,How often do they meet?,Frequency, once a week
Jones and Angelina will meet in town in the afternoon.,When will they meet in town?,Typical Time, 12:00 PM
Jones and Angelina will meet in town in the afternoon.,What will they do after meeting in town?,Event Ordering, go home
Jones and Angelina will meet in town in the afternoon.,Will they meet in the morning?,Stationarity, no
Derek and Alyssa make fun of Fergie's performance of the national anthem.,How often do they perform the national anthem?,Frequency, once a year
Derek and Alyssa make fun of Fergie's performance of the national anthem.,How long does the national anthem last?,Event Duration, 2 minutes
Derek and Alyssa make fun of Fergie's performance of the national anthem.,When did they perform the national anthem?,Typical Time, 12:00 PM
Derek and Alyssa make fun of Fergie's performance of the national anthem.,What did they do after the national anthem?,Event Ordering, they left
Derek and Alyssa make fun of Fergie's performance of the national anthem.,Is Derek still laughing at the national anthem?,Stationarity, no
"Pam doesn't have rota for Lauren, but Manager may give Lauren more tomorrow. Pam and Lauren will meet tomorrow and discuss Lauren's holiday.",How often do they meet?,Frequency, once a week
"Pam doesn't have rota for Lauren, but Manager may give Lauren more tomorrow. Pam and Lauren will meet tomorrow and discuss Lauren's holiday.",When will they meet?,Typical Time, 12:00 PM
"Pam doesn't have rota for Lauren, but Manager may give Lauren more tomorrow. Pam and Lauren will meet tomorrow and discuss Lauren's holiday.",What happens after they meet?,Event Ordering, they go home
Jamie has never gone ghost hunting but Harriette did with her friends once in high school. They did not see any ghosts and she only got frightened by a cat's miaowing.,How often does Harriette go to haunting places?,Frequency, once a year
Jamie has never gone ghost hunting but Harriette did with her friends once in high school. They did not see any ghosts and she only got frightened by a cat's miaowing.,How long did she go ghost hunting?,Event Duration, 1 hour
Jamie has never gone ghost hunting but Harriette did with her friends once in high school. They did not see any ghosts and she only got frightened by a cat's miaowing.,When did she go to school?,Typical Time, 10:00 AM
Jamie has never gone ghost hunting but Harriette did with her friends once in high school. They did not see any ghosts and she only got frightened by a cat's miaowing.,What did they do after the cat was frightened?,Event Ordering, they went home
Jack needs Kev's help as he cannot get the application running.,How often does Jack need help?,Frequency, every few weeks
Jack needs Kev's help as he cannot get the application running.,How long does Jack need help?,Event Duration, 1 hour
Jack needs Kev's help as he cannot get the application running.,When did he get the application running?,Typical Time, 12:00 PM
Jack needs Kev's help as he cannot get the application running.,What happens after the application is not running?,Event Ordering, jack gets a new computer
Dan wants to apologize to Angela. They will meet at school later.,How often do they meet at the school?,Frequency, every day
Dan wants to apologize to Angela. They will meet at school later.,How long will they meet at the school?,Event Duration, 1 hour
Dan wants to apologize to Angela. They will meet at school later.,When will they meet at the school?,Typical Time, 12:00 PM
Dan wants to apologize to Angela. They will meet at school later.,What will they do after meeting at school?,Event Ordering, they will talk
Dan wants to apologize to Angela. They will meet at school later.,Will they still be at school after the break?,Stationarity, no
"Shaldona sends mobile invitations to her wedding, as she has no time to give them in person.",How often does Shaldona send the invitations to her wedding?,Frequency, once
"Shaldona sends mobile invitations to her wedding, as she has no time to give them in person.",How long does Shaldona send the invitations?,Event Duration, 10 minutes
"Shaldona sends mobile invitations to her wedding, as she has no time to give them in person.",When did Shaldona send the invitations?,Typical Time, 10:00 AM
"Shaldona sends mobile invitations to her wedding, as she has no time to give them in person.",What happens after she sends the invitations?,Event Ordering, people respond
Paula and Ralph will meet the new person in an hour.,How often will they meet the new person?,Frequency, once
Paula and Ralph will meet the new person in an hour.,When will they meet the new person?,Typical Time, 1:00 PM
Paula and Ralph will meet the new person in an hour.,What happens after they meet the new person?,Event Ordering, they talk to them
Paula and Ralph will meet the new person in an hour.,Will they still be meeting the next person after the hour?,Stationarity, no
"Ania, Kasia, Zuzia and Jan want to go to the church tomorrow. Ania and Zuzia do not find it appropriate to go to the church with a boy.",How often do they go to church?,Frequency, once a week
"Ania, Kasia, Zuzia and Jan want to go to the church tomorrow. Ania and Zuzia do not find it appropriate to go to the church with a boy.",How long will the church be open?,Event Duration, 12 pm
"Ania, Kasia, Zuzia and Jan want to go to the church tomorrow. Ania and Zuzia do not find it appropriate to go to the church with a boy.",When did they go to church?,Typical Time, 10:00 AM
"Ania, Kasia, Zuzia and Jan want to go to the church tomorrow. Ania and Zuzia do not find it appropriate to go to the church with a boy.",What will they do after church?,Event Ordering, go home
"Ania, Kasia, Zuzia and Jan want to go to the church tomorrow. Ania and Zuzia do not find it appropriate to go to the church with a boy.",Is Ania still at the church?,Stationarity, no
"Harry waits outside. The movie has already started but Ema needs another 5 minutes, which made Harry angry.",How many times a week does Harry wait outside?,Frequency, once
"Harry waits outside. The movie has already started but Ema needs another 5 minutes, which made Harry angry.",How long did the movie last?,Event Duration, 2 hours
"Harry waits outside. The movie has already started but Ema needs another 5 minutes, which made Harry angry.",When did the movie start?,Typical Time, 7:00 PM
"Harry waits outside. The movie has already started but Ema needs another 5 minutes, which made Harry angry.",What did Harry do after the movie?,Event Ordering, he went home
"Harry waits outside. The movie has already started but Ema needs another 5 minutes, which made Harry angry.",Is Harry still angry after the movie is over?,Stationarity, no
"In the agreement it was decided that it's neither a sea nor a lake and it will have a special legal status. They will also completely divide the seabed up. It's rich in resources, mostly gas and oil.",How often are the resources used?,Frequency, every day
"In the agreement it was decided that it's neither a sea nor a lake and it will have a special legal status. They will also completely divide the seabed up. It's rich in resources, mostly gas and oil.",How long did the agreement take?,Event Duration, 1 year
"In the agreement it was decided that it's neither a sea nor a lake and it will have a special legal status. They will also completely divide the seabed up. It's rich in resources, mostly gas and oil.",When did the agreement take place?,Typical Time, 1990
"In the agreement it was decided that it's neither a sea nor a lake and it will have a special legal status. They will also completely divide the seabed up. It's rich in resources, mostly gas and oil.",What happens after the seabed is divided?,Event Ordering, the gas and oil are extracted
Joe's job is wearing him up. Tim's friend Terry quit his job because he was burned out.,How often does Terry quit his job?,Frequency, once
Joe's job is wearing him up. Tim's friend Terry quit his job because he was burned out.,How long did Terry quit his job?,Event Duration, 1 year
Joe's job is wearing him up. Tim's friend Terry quit his job because he was burned out.,When did Terry quit his job?,Typical Time, 12:00 PM
Joe's job is wearing him up. Tim's friend Terry quit his job because he was burned out.,What did he do after he quit his job?,Event Ordering, he went to school
"Natalie is checking if it's worth going to the new club at Regents Street. Denise thinks the club is great. Judy's friends also recommend the place, so Judy is going there this weekend. Natalie will go to the club with Judy, Miranda and Helen on Saturday.",How often does Denise go to the club?,Frequency, once a week
"Natalie is checking if it's worth going to the new club at Regents Street. Denise thinks the club is great. Judy's friends also recommend the place, so Judy is going there this weekend. Natalie will go to the club with Judy, Miranda and Helen on Saturday.",How long will the club be there?,Event Duration, 10:00 PM
"Natalie is checking if it's worth going to the new club at Regents Street. Denise thinks the club is great. Judy's friends also recommend the place, so Judy is going there this weekend. Natalie will go to the club with Judy, Miranda and Helen on Saturday.",When will they go to the club?,Typical Time, 10:00 PM
"Natalie is checking if it's worth going to the new club at Regents Street. Denise thinks the club is great. Judy's friends also recommend the place, so Judy is going there this weekend. Natalie will go to the club with Judy, Miranda and Helen on Saturday.",What happens after they go to the club?,Event Ordering, they have fun
"Jamie, Marlo, Jimmy and Alex's teacher requires their class to divide into 2 groups, each making a presentation. The teacher sent them the presentation subjects via e-mail. Jamie, Marlo, Jimmy and Alex consider dividing the class into groups by gender.",How often are the presentation subjects?,Frequency, once a week
"Jamie, Marlo, Jimmy and Alex's teacher requires their class to divide into 2 groups, each making a presentation. The teacher sent them the presentation subjects via e-mail. Jamie, Marlo, Jimmy and Alex consider dividing the class into groups by gender.",How long does the presentation last?,Event Duration, 1 hour
"Jamie, Marlo, Jimmy and Alex's teacher requires their class to divide into 2 groups, each making a presentation. The teacher sent them the presentation subjects via e-mail. Jamie, Marlo, Jimmy and Alex consider dividing the class into groups by gender.",When did the presentation begin?,Typical Time, 12:00 PM
"Jamie, Marlo, Jimmy and Alex's teacher requires their class to divide into 2 groups, each making a presentation. The teacher sent them the presentation subjects via e-mail. Jamie, Marlo, Jimmy and Alex consider dividing the class into groups by gender.",What happens after the presentation?,Event Ordering, the students go home
John is in the park. He is leaving now.,How often does John go to the park?,Frequency, every week
John is in the park. He is leaving now.,How long was John in the park?,Event Duration, 2 hours
John is in the park. He is leaving now.,When did John leave the park?,Typical Time, 1:00 PM
John is in the park. He is leaving now.,What did John do after leaving the park?,Event Ordering, he went home
John is in the park. He is leaving now.,Is John still in the park tomorrow?,Stationarity, no
"There was a crowd outside the bookshop today. Cole Grant, who writes about vampires, was allegedly in the bookshop signing his books.",How often does he go to the bookshop?,Frequency, every week
"There was a crowd outside the bookshop today. Cole Grant, who writes about vampires, was allegedly in the bookshop signing his books.",How long was the crowd?,Event Duration, 1 hour
"There was a crowd outside the bookshop today. Cole Grant, who writes about vampires, was allegedly in the bookshop signing his books.",When did the crowd arrive to the bookshop?,Typical Time, 1:00 PM
"There was a crowd outside the bookshop today. Cole Grant, who writes about vampires, was allegedly in the bookshop signing his books.",What happened after the crowd was in the bookshop after the bookshop?,Event Ordering, they bought books
"There was a crowd outside the bookshop today. Cole Grant, who writes about vampires, was allegedly in the bookshop signing his books.",Is Cole still in the bookshop tomorrow?,Stationarity, no
Debbie can't decide between buying a red dress and a green one. On Kelly and Denise's advice she will buy the green one. Kelly is considering buying the red one for herself.,How often does she buy the red dress?,Frequency, once
Debbie can't decide between buying a red dress and a green one. On Kelly and Denise's advice she will buy the green one. Kelly is considering buying the red one for herself.,How long does it take to buy the red one?,Event Duration, 10 minutes
Debbie can't decide between buying a red dress and a green one. On Kelly and Denise's advice she will buy the green one. Kelly is considering buying the red one for herself.,When did she buy the red dress?,Typical Time, 1:00 PM
Debbie can't decide between buying a red dress and a green one. On Kelly and Denise's advice she will buy the green one. Kelly is considering buying the red one for herself.,What happens after she buys the red one?,Event Ordering, she wears it
Debbie can't decide between buying a red dress and a green one. On Kelly and Denise's advice she will buy the green one. Kelly is considering buying the red one for herself.,Is she still considering the red dress after buying the green one?,Stationarity, no
"Tom will help Mia buy a flight ticket as she doesn't have a credit card and doesn’t want to use Peter's now. Tom needs the flight, company and your personal data.",How often does Mia buy the flight?,Frequency, once
"Tom will help Mia buy a flight ticket as she doesn't have a credit card and doesn’t want to use Peter's now. Tom needs the flight, company and your personal data.",How long will the flight take?,Event Duration, 2 hours
"Tom will help Mia buy a flight ticket as she doesn't have a credit card and doesn’t want to use Peter's now. Tom needs the flight, company and your personal data.",When did she buy the flight?,Typical Time, 12:00 PM
"Tom will help Mia buy a flight ticket as she doesn't have a credit card and doesn’t want to use Peter's now. Tom needs the flight, company and your personal data.",What happens after she buys the flight?,Event Ordering, she travels
Hugh has a toothache and needs to go to the dentist. Andy and Wade recommend him dentists at ProDent. Hugh will call ProDent today.,How many times a week does Hugh go to the dentist?,Frequency, once
Hugh has a toothache and needs to go to the dentist. Andy and Wade recommend him dentists at ProDent. Hugh will call ProDent today.,How long will the toothache last?,Event Duration, 2 weeks
Hugh has a toothache and needs to go to the dentist. Andy and Wade recommend him dentists at ProDent. Hugh will call ProDent today.,When did they go to the dentists?,Typical Time, 12:00 PM
Hugh has a toothache and needs to go to the dentist. Andy and Wade recommend him dentists at ProDent. Hugh will call ProDent today.,What happens after they go to the dentists?,Event Ordering, they get a cleaning
Hugh has a toothache and needs to go to the dentist. Andy and Wade recommend him dentists at ProDent. Hugh will call ProDent today.,Is Hugh still at the dentists today?,Stationarity, no
"Before Christmas, Ella's mom won a hundred thousand in a lottery. Both Ella and Noah are excited.",How often does Ella and Noah win the lottery?,Frequency, once
"Before Christmas, Ella's mom won a hundred thousand in a lottery. Both Ella and Noah are excited.",How long did the lottery last?,Event Duration, 1 week
"Before Christmas, Ella's mom won a hundred thousand in a lottery. Both Ella and Noah are excited.",When did Ella and Noah win the lottery?,Typical Time, in october
"Before Christmas, Ella's mom won a hundred thousand in a lottery. Both Ella and Noah are excited.",What did they do after the lottery?,Event Ordering, they went to the store
"There has been an accident on Circle Drive, neat Circle Mall. There are no fatalities.",How often are the fatalities?,Frequency, once a year
"There has been an accident on Circle Drive, neat Circle Mall. There are no fatalities.",How long has the accident happened?,Event Duration, 1 hour
"There has been an accident on Circle Drive, neat Circle Mall. There are no fatalities.",When did the accident happen?,Typical Time, 1:00 PM
